name,averageofgoals,averageofpoints,AverageCreativity,AverageAssists,AverageThreat,AverageCS,AverageSel,AverageGC
Cristian Romero,0.15384615384615385,3.0,4.211538461538462,0.0,20.86923076923077,0.19230769230769232,1061522.5384615385,0.15384615384615385
Dan Burn,0.07692307692307693,2.6538461538461537,4.173076923076923,0.038461538461538464,16.26923076923077,0.23076923076923078,533213.6538461539,0.11538461538461539
Daniel Muñoz,0.0,0.4,11.4,0.0,15.080000000000002,0.0,2896.8,0.4
Danny Welbeck,0.11538461538461539,1.8846153846153846,6.188461538461539,0.11538461538461539,7.6461538461538465,0.23076923076923078,94481.15384615384,0.07692307692307693
Dara O'Shea,0.038461538461538464,1.5769230769230769,4.75,0.11538461538461539,18.315384615384616,0.07692307692307693,20413.73076923077,0.19230769230769232
Darwin Núñez Ribeiro,0.37037037037037035,3.925925925925926,12.981481481481481,0.3333333333333333,21.17037037037037,0.2222222222222222,1534758.7407407407,0.2962962962962963
David Raya Martin,0.0,3.269230769230769,0.0,0.0,11.261538461538462,0.34615384615384615,500669.26923076925,0.0
Declan Rice,0.19230769230769232,4.076923076923077,16.55,0.15384615384615385,25.407692307692308,0.4230769230769231,525723.0384615385,0.11538461538461539
Dejan Kulusevski,0.23076923076923078,3.6153846153846154,27.46923076923077,0.07692307692307693,19.384615384615383,0.23076923076923078,255841.23076923078,0.23076923076923078
Destiny Udogie,0.07692307692307693,2.5384615384615383,11.442307692307692,0.11538461538461539,17.46153846153846,0.15384615384615385,1151471.7307692308,0.19230769230769232
Diego Carlos Santos Silva,0.0,1.4615384615384615,1.676923076923077,0.0,9.061538461538461,0.15384615384615385,47958.730769230766,0.11538461538461539
Diogo Dalot Teixeira,0.038461538461538464,2.923076923076923,14.642307692307693,0.07692307692307693,19.29230769230769,0.23076923076923078,308068.57692307694,0.15384615384615385
Dominic Calvert-Lewin,0.11538461538461539,2.269230769230769,7.503846153846154,0.07692307692307693,7.315384615384615,0.3076923076923077,103828.42307692308,0.038461538461538464
Dominic Solanke,0.56,5.12,11.12,0.12,26.471999999999998,0.24,1160613.28,0.08
Dominik Szoboszlai,0.1111111111111111,3.074074074074074,19.566666666666666,0.14814814814814814,13.11111111111111,0.2962962962962963,520512.5925925926,0.037037037037037035
Douglas Luiz Soares de Paulo,0.2692307692307692,4.576923076923077,25.442307692307693,0.19230769230769232,23.799999999999997,0.19230769230769232,755242.7692307692,0.2692307692307692
Dwight McNeil,0.07692307692307693,3.076923076923077,24.61923076923077,0.19230769230769232,16.03076923076923,0.2692307692307692,23408.0,0.038461538461538464
Eberechi Eze,0.23076923076923078,2.8076923076923075,18.45,0.07692307692307693,15.561538461538463,0.15384615384615385,546280.1923076923,0.07692307692307693
Ederson Santana de Moraes,0.0,3.0,0.38461538461538464,0.0,16.46923076923077,0.2692307692307692,1750059.9615384615,0.15384615384615385
Edson Álvarez Velázquez,0.038461538461538464,1.9230769230769231,4.607692307692308,0.038461538461538464,15.976923076923075,0.19230769230769232,14781.615384615385,0.3076923076923077
Elijah Adebayo,0.34615384615384615,3.076923076923077,6.2807692307692315,0.038461538461538464,13.792307692307693,0.07692307692307693,148723.73076923078,0.038461538461538464
Emerson Palmieri dos Santos,0.0,2.3461538461538463,9.803846153846154,0.07692307692307693,15.7,0.19230769230769232,120630.0,0.2692307692307692
Emiliano Martínez Romero,0.0,3.269230769230769,0.7692307692307693,0.0,24.323076923076922,0.23076923076923078,928358.6538461539,0.15384615384615385
Enzo Fernández,0.11538461538461539,2.3846153846153846,17.292307692307695,0.038461538461538464,16.353846153846153,0.19230769230769232,302570.07692307694,0.23076923076923078
Erling Haaland,0.6923076923076923,5.653846153846154,10.353846153846153,0.23076923076923078,28.915384615384614,0.23076923076923078,7957679.923076923,0.038461538461538464
Ethan Pinnock,0.038461538461538464,2.269230769230769,2.323076923076923,0.0,20.96153846153846,0.15384615384615385,297400.1153846154,0.0
Evan Ferguson,0.23076923076923078,2.5,3.457692307692308,0.038461538461538464,10.084615384615384,0.07692307692307693,669689.0384615385,0.038461538461538464
Ezri Konsa Ngoyo,0.0,2.3076923076923075,4.55,0.038461538461538464,14.86153846153846,0.19230769230769232,179240.57692307694,0.19230769230769232
Fabian Schär,0.11538461538461539,3.6923076923076925,4.684615384615385,0.11538461538461539,24.307692307692307,0.2692307692307692,618564.7692307692,0.15384615384615385
Gabriel Fernando de Jesus,0.15384615384615385,2.4615384615384617,12.211538461538462,0.15384615384615385,11.538461538461538,0.2692307692307692,338353.23076923075,0.19230769230769232
Gabriel Martinelli Silva,0.23076923076923078,3.8846153846153846,22.1,0.15384615384615385,16.16923076923077,0.34615384615384615,728238.5769230769,0.038461538461538464
Gabriel Osho,0.07692307692307693,1.3461538461538463,0.7230769230769231,0.0,13.623076923076923,0.07692307692307693,5400.076923076923,0.11538461538461539
