name,season,starts,mean,std,creativity,influence,goals_scored,count,ratio
Adam_Lallana_195,2019-20,15,0.9310344827586207,1.5568061280060035,2.372413793103448,3.6965517241379313,0.034482758620689655,29,0.5172413793103449
Adam_Masina_355,2019-20,17,1.6551724137931034,2.511059282297378,5.193103448275862,9.903448275862068,0.034482758620689655,29,0.5862068965517241
Adam_Smith,2016-17,36,2.736842105263158,3.046346598142941,13.41578947368421,14.910526315789474,0.02631578947368421,38,0.9473684210526315
Adam_Smith,2017-18,27,1.4736842105263157,2.049875963357139,9.092105263157896,11.973684210526315,0.02631578947368421,38,0.7105263157894737
Adam_Smith_29,2018-19,25,1.8421052631578947,2.5944464158730307,5.257894736842106,9.842105263157896,0.02631578947368421,38,0.6578947368421053
Adam_Smith_63,2019-20,18,1.3448275862068966,2.511059282297378,4.879310344827586,8.23448275862069,0.0,29,0.6206896551724138
Adam_Webster_493,2019-20,23,2.3793103448275863,3.0754069777539583,5.093103448275862,18.524137931034485,0.10344827586206896,29,0.7931034482758621
Adama Traoré,2020-21,37,2.473684210526316,1.9828568266214002,19.763157894736842,12.510526315789473,0.05263157894736842,38,0.9736842105263158
Adama Traoré,2021-22,20,1.1578947368421053,1.498220850992913,7.1342105263157904,5.052631578947368,0.02631578947368421,38,0.5263157894736842
Adama_Diomande,2016-17,22,1.105263157894737,1.6405251908609078,5.1421052631578945,3.710526315789474,0.05263157894736842,38,0.5789473684210527
Adama_Traoré,2016-17,27,1.4857142857142858,1.421917275897511,9.157142857142857,8.09142857142857,0.0,35,0.7714285714285715
Adama_Traoré_417,2019-20,28,3.7241379310344827,3.945128566836193,21.09310344827586,21.110344827586207,0.13793103448275862,29,0.9655172413793104
Adama_Traoré_500,2018-19,29,1.1578947368421053,1.4242364628578053,7.139473684210526,5.878947368421053,0.02631578947368421,38,0.7631578947368421
Ademola Lookman,2020-21,34,3.057142857142857,2.5889227505669923,25.274285714285714,14.691428571428572,0.11428571428571428,35,0.9714285714285714
Ademola Lookman,2021-22,26,2.1714285714285713,2.6511453050656106,8.625714285714285,10.371428571428572,0.17142857142857143,35,0.7428571428571429
Ademola_Lookman_170,2018-19,21,0.8947368421052632,1.2900759182397719,4.528947368421052,3.4578947368421056,0.0,38,0.5526315789473685
Adnan_Januzaj,2016-17,25,1.2894736842105263,1.609228365310901,12.389473684210527,5.9526315789473685,0.0,38,0.6578947368421053
Adrian_Mariappa,2017-18,28,1.5263157894736843,2.165289345938747,1.563157894736842,12.157894736842104,0.0,38,0.7368421052631579
Adrian_Mariappa_356,2019-20,15,0.8275862068965517,2.0885566704107505,2.4655172413793105,6.558620689655172,0.0,29,0.5172413793103449
Adrian_Mariappa_382,2018-19,26,1.5,2.0762492169320166,1.6289473684210527,10.647368421052633,0.0,38,0.6842105263157895
Adrien Sebastian_Perruchet Silva,2017-18,12,1.3529411764705883,1.411611511296054,7.0588235294117645,7.8352941176470585,0.0,17,0.7058823529411765
Adrián_San Miguel del Castillo,2017-18,19,1.894736842105263,2.8072249804813305,0.0,12.378947368421052,0.0,38,0.5
Ahmed El-Sayed_Hegazi,2017-18,38,3.0,3.2797494960372746,2.6184210526315788,25.336842105263155,0.05263157894736842,38,1.0
Ahmed_Elmohamady,2016-17,33,1.631578947368421,1.3238162000204936,11.278947368421052,12.221052631578948,0.0,38,0.868421052631579
Ahmed_Musa,2016-17,21,1.0263157894736843,1.7931829183501813,3.1789473684210527,3.4894736842105263,0.05263157894736842,38,0.5526315789473685
Ainsley Maitland-Niles,2020-21,26,1.7894736842105263,2.1705385399349204,3.392105263157895,5.742105263157894,0.0,38,0.6842105263157895
Albert Sambi Lokonga,2021-22,19,0.8421052631578947,1.078695803861704,6.597368421052631,4.78421052631579,0.0,38,0.5
Alejandro Garnacho,2023-24,24,3.59375,4.125916320512447,15.78125,14.4625,0.21875,32,0.75
