name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_saved,red_cards,saves,penalties_missed,selected,threat,total_points,value
Jason Steele,GK,Brighton,2.394594594594595,0.02702702702702703,0.21621621621621623,8.405405405405405,0.16216216216216217,0.35135135135135137,102.0,0.004054054054054054,0.0,0.0,0.5578378378378378,0.5675675675675675,0.0,34.054054054054056,0.02702702702702703,0.02702702702702703,0.0,0.918918918918919,0.0,212582.32432432432,0.0,1.7027027027027026,39.45945945945946
Jefferson Lerma Solís,MID,Bournemouth,1.9864864864864864,0.0,0.13513513513513514,13.297297297297296,0.1891891891891892,7.594594594594595,64.0,0.06154594594594595,0.06151351351351352,0.0351027027027027,0.9710297297297298,1.7837837837837838,0.13513513513513514,85.45945945945945,0.02702702702702703,0.0,0.0,0.0,0.0,56530.18918918919,8.243243243243244,2.675675675675676,48.2972972972973
Jeffrey Schlupp,MID,Crystal Palace,2.305405405405405,0.05405405405405406,0.05405405405405406,8.756756756756756,0.24324324324324326,6.962162162162163,161.0,0.02186945945945946,0.07534243243243242,0.058608108108108105,0.5919621621621621,1.027027027027027,0.08108108108108109,68.32432432432432,0.0,0.0,0.0,0.0,0.0,13978.405405405405,8.486486486486486,2.4054054054054053,47.7027027027027
Joachim Andersen,DEF,Crystal Palace,1.7081081081081082,0.0,0.02702702702702703,12.675675675675675,0.21621621621621623,3.9540540540540543,165.0,0.019907297297297295,0.04320189189189189,0.027078378378378377,0.5184486486486487,0.972972972972973,0.02702702702702703,72.75675675675676,0.05405405405405406,0.0,0.0,0.0,0.0,229820.2972972973,7.378378378378378,2.108108108108108,45.0
Joe Willock,MID,Newcastle,3.4405405405405403,0.1891891891891892,0.2972972972972973,11.216216216216216,0.32432432432432434,14.186486486486485,373.0,0.06334162162162163,0.12997675675675677,0.12285135135135136,0.47664054054054056,0.7027027027027027,0.08108108108108109,69.08108108108108,0.0,0.0,0.0,0.0,0.0,84603.45945945945,17.675675675675677,3.324324324324324,48.13513513513514
Joe Worrall,DEF,Nott'm Forest,1.0810810810810811,0.0,0.05405405405405406,9.486486486486486,0.13513513513513514,1.7945945945945945,388.0,0.005380540540540541,0.02112108108108108,0.01601081081081081,0.7912567567567568,1.162162162162162,0.02702702702702703,57.432432432432435,0.0,0.0,0.0,0.0,0.0,14209.513513513513,2.4864864864864864,1.5945945945945945,42.7027027027027
Joelinton Cássio Apolinário de Lira,MID,Newcastle,3.472972972972973,0.13513513513513514,0.2702702702702703,12.378378378378379,0.2972972972972973,10.791891891891892,371.0,0.03008216216216216,0.1178118918918919,0.1334054054054054,0.5722405405405405,0.7027027027027027,0.16216216216216217,71.89189189189189,0.0,0.0,0.0,0.0,0.0,118652.16216216216,16.243243243243242,3.108108108108108,59.513513513513516
John McGinn,MID,Aston Villa,2.3513513513513513,0.13513513513513514,0.08108108108108109,9.54054054054054,0.2702702702702703,9.416216216216215,37.0,0.055822972972972965,0.08201216216216216,0.03564864864864865,0.6116081081081081,0.8108108108108109,0.02702702702702703,70.32432432432432,0.0,0.0,0.0,0.0,0.0,75895.24324324324,8.702702702702704,2.4054054054054053,51.75675675675676
John Stones,DEF,Man City,3.1486486486486487,0.05405405405405406,0.35135135135135137,11.405405405405405,0.1891891891891892,4.435135135135135,302.0,0.007485675675675676,0.028234324324324322,0.021289189189189192,0.2371783783783784,0.4594594594594595,0.05405405405405406,49.83783783783784,0.02702702702702703,0.0,0.0,0.0,0.0,330043.1621621622,3.6486486486486487,2.5135135135135136,54.4054054054054
Jordan Ayew,MID,Crystal Palace,2.9972972972972975,0.08108108108108109,0.10810810810810811,8.945945945945946,0.21621621621621623,12.58108108108108,159.0,0.04058567567567567,0.08949108108108109,0.06431081081081082,0.7128081081081081,1.0810810810810811,0.10810810810810811,70.75675675675676,0.0,0.0,0.0,0.0,0.0,31659.162162162163,11.594594594594595,2.7567567567567566,53.21621621621622
